species,individual
modoc_east,C002__modoc_east_
laevissimus,C003__laevissimus_
new,C016__new2_
new,C018__new2_
modoc_east,C041__modoc_east_
laevissimus,C046__laevissimus_
herculeanus,C049__herculeanus_
herculeanus,C050__herculeanus_
herculeanus,C056__herculeanus_
herculeanus,C105__herculeanus_
modoc_east,C107__modoc_east_
laevissimus,C125__laevissimus_
modoc_east,C126__modoc_east_
chromaiodes,C133__chromaiodes_
chromaiodes,C135__chromaiodes_
modoc_west,C161__modoc_west_
modoc_west,C177__modoc_west_
new,C207__new2_
pennsylvanicus,C208__pennsylvanicus_
pennsylvanicus,C211__pennsylvanicus_
chromaiodes,C212__chromaiodes_
chromaiodes,C213__chromaiodes_
pennsylvanicus,C215__pennsylvanicus_
novaeboracensis,C219__novaeboracensis_
novaeboracensis,C227__novaeboracensis_
pennsylvanicus,C256__pennsylvanicus_
modoc_west,C276__modoc_west_
laevissimus,C299b__laevissimus_
new,C303b__new_
novaeboracensis,C402__novaeboracencis_
modoc_west,C404__modoc_west_
novaeboracensis,C408__novaeboracencis_








